repo,file,old_release,new_release,type,import_name,import_asname,import_module
google/tangent,tests/test_hessian_vector_products.py,,v0.1.4,ADD,hessian_vector_product,,autograd
google/tangent,tests/test_hessian_vector_products.py,,v0.1.4,ADD,autograd.numpy,np,
google/tangent,tests/test_hessian_vector_products.py,,v0.1.4,ADD,pytest,,
google/tangent,tests/test_hessian_vector_products.py,,v0.1.4,ADD,tangent,,
google/tangent,tests/test_hessian_vector_products.py,,v0.1.4,ADD,tfe_utils,,
google/tangent,tests/test_hessian_vector_products.py,,v0.1.4,ADD,tensorflow,tf,
google/tangent,tests/functions.py,,v0.1.4,ADD,division,,__future__
google/tangent,tests/functions.py,,v0.1.4,ADD,numpy,np,
google/tangent,tests/functions.py,,v0.1.4,ADD,tangent,,
google/tangent,tests/functions.py,,v0.1.4,ADD,insert_grad_of,,tangent
google/tangent,tests/functions.py,,v0.1.4,ADD,tensorflow,tf,
google/tangent,tests/tfe_utils.py,,v0.1.4,ADD,numpy,np,
google/tangent,tests/tfe_utils.py,,v0.1.4,ADD,grad,,tangent.grad_util
google/tangent,tests/tfe_utils.py,,v0.1.4,ADD,utils,,
google/tangent,tests/tfe_utils.py,,v0.1.4,ADD,tensorflow,tf,
google/tangent,tests/tfe_utils.py,,v0.1.4,ADD,tfe,,tensorflow.contrib.eager.python
google/tangent,tangent/tf_extensions.py,,v0.1.4,ADD,absolute_import,,__future__
google/tangent,tangent/tf_extensions.py,,v0.1.4,ADD,numpy,np,
google/tangent,tangent/tf_extensions.py,,v0.1.4,ADD,grads,,tangent
google/tangent,tangent/tf_extensions.py,,v0.1.4,ADD,tangents,,tangent
google/tangent,tangent/tf_extensions.py,,v0.1.4,ADD,utils,,tangent
google/tangent,tangent/tf_extensions.py,,v0.1.4,ADD,adjoint,,tangent.grads
google/tangent,tangent/tf_extensions.py,,v0.1.4,ADD,DEFAULT,,tangent.grads
google/tangent,tangent/tf_extensions.py,,v0.1.4,ADD,non_differentiable,,tangent
google/tangent,tangent/tf_extensions.py,,v0.1.4,ADD,tangent_,,tangent.tangents
google/tangent,tangent/tf_extensions.py,,v0.1.4,ADD,register_all_add_grad,,tangent.utils
google/tangent,tangent/tf_extensions.py,,v0.1.4,ADD,register_init_grad,,tangent.utils
google/tangent,tangent/tf_extensions.py,,v0.1.4,ADD,register_unbroadcast,,tangent.utils
google/tangent,tangent/tf_extensions.py,,v0.1.4,ADD,register_unreduce,,tangent.utils
google/tangent,tangent/tf_extensions.py,,v0.1.4,ADD,tensorflow,tf,
google/tangent,tangent/tf_extensions.py,,v0.1.4,ADD,ops,,tensorflow.python.framework
google/tangent,tangent/tf_extensions.py,,v0.1.4,ADD,resource_variable_ops,,tensorflow.python.ops
google/tangent,tangent/tracing.py,,v0.1.4,ADD,make_vjp,,tensorflow.python.eager.backprop
google/tangent,tangent/tf_extensions.py,v0.1.4,v0.1.6,ADD,register_shape_function,,tangent.utils
google/tangent,tangent/tf_extensions.py,v0.1.6,v0.1.7,ADD,Number,,numbers
google/tangent,tangent/tf_extensions.py,v0.1.6,v0.1.7,ADD,array_shapes_match,,tangent.utils
google/tangent,tangent/tf_extensions.py,v0.1.6,v0.1.7,ADD,register_all_shape_checker,,tangent.utils
google/tangent,tangent/tf_extensions.py,v0.1.6,v0.1.7,DELETE,DEFAULT,,tangent.grads
google/tangent,tests/tfe_utils.py,v0.1.6,v0.1.7,ADD,autodiff,,tangent.grad_util
google/tangent,tests/tfe_utils.py,v0.1.6,v0.1.7,ADD,jvp,,tangent.grad_util
google/tangent,tests/tfe_utils.py,v0.1.6,v0.1.7,DELETE,grad,,tangent.grad_util
